"","movement","environment","tactic","run","total_energy","total_cpu","total_ram"
"235","AUTONOMOUS","empty","combined",5,1255600.39,19.6116279069767,23.9612403100775
"236","AUTONOMOUS","empty","combined",6,1203527.185,19.6853543307087,23.9751968503937
"237","AUTONOMOUS","empty","combined",7,1272412.09,19.247421875,24.61421875
"238","AUTONOMOUS","empty","combined",8,1260102.005,19.4706349206349,24.5853174603175
"239","AUTONOMOUS","empty","combined",9,1278758.06,19.5565625,23.94296875
"240","AUTONOMOUS","empty","combined",10,1295951.04,19.53171875,23.983515625
"241","AUTONOMOUS","obstacles","baseline",1,1294031.905,20.5887704918033,23.8490163934426
"242","AUTONOMOUS","obstacles","baseline",2,1369769.885,20.2616935483871,23.2389516129032
"243","AUTONOMOUS","obstacles","baseline",3,1367803.41,20.4333070866142,23.2174803149606
"244","AUTONOMOUS","obstacles","baseline",4,1341950.68,20.5627868852459,23.8560655737705
"245","AUTONOMOUS","obstacles","baseline",5,1339852.15,20.6206976744186,23.9510852713178
"246","AUTONOMOUS","obstacles","baseline",6,1406660.08,20.36875,23.845625
"247","AUTONOMOUS","obstacles","baseline",7,1400488.69,20.1632258064516,23.1763709677419
"248","AUTONOMOUS","obstacles","baseline",8,1337372.435,20.8480952380952,23.2320634920635
"249","AUTONOMOUS","obstacles","baseline",9,1323518.525,20.716484375,23.87
"250","AUTONOMOUS","obstacles","baseline",10,1291529.855,20.4155284552846,23.9176422764228
"251","AUTONOMOUS","obstacles","ee1",1,1292580.525,20.26275,23.7569166666667
"252","AUTONOMOUS","obstacles","ee1",2,1286844.95,19.9935294117647,23.1768907563025
"253","AUTONOMOUS","obstacles","ee1",3,1299548.72,20.06344,23.85992
"254","AUTONOMOUS","obstacles","ee1",4,1340858.75,20.6912195121951,23.2066666666667
"255","AUTONOMOUS","obstacles","ee1",5,1292425.85,20.3345833333333,23.8360833333333
"256","AUTONOMOUS","obstacles","ee1",6,1278898.11,20.5668067226891,24.4842016806723
